source_file,source_record,token,expiry,strike,atm_strike,atm_iv,atm_iv_change,atm_iv_percentile,atm_ivp_type,pcr,max_pain_strike,chain_pcr,iv_change,callDelta,gamma,impliedVolatility,putDelta,theta,vega,ce_instrument_token,ce_last_price,ce_net_change,ce_absolute_price_change,ce_oi,ce_oi_change,ce_is_liquid,ce_liquidity_warnings,ce_volume,ce_best_buy_price,ce_best_sell_price,ce_oi_change_quantity,ce_intrinsic_value,ce_intrinsic_value_from_spot,ce_time_value,ce_pop,ce_breakeven,ce_breakeven_percentage,pe_instrument_token,pe_last_price,pe_net_change,pe_absolute_price_change,pe_oi,pe_oi_change,pe_is_liquid,pe_liquidity_warnings,pe_volume,pe_best_buy_price,pe_best_sell_price,pe_oi_change_quantity,pe_intrinsic_value,pe_intrinsic_value_from_spot,pe_time_value,pe_pop,pe_breakeven,pe_breakeven_percentage
256265_2026-03-02.jsonl,1,256265,2026-03-02,23250,25250,10.9,-0.4,49,,0.46,25300,2359.33,0.1,1,0,34.9,0,-1.83,0.32,14018050,2221,0,0,195,0,true,,0,1737.7,2151.65,0,1975.57,1928.65,245.43,0.15,25471,1.16,14018306,1.2,-0.2,-0.30000000000000004,460070,0.335,true,,4209270,1.1,1.3,115570,0,0,1.2,0,23248.8,-7.66
256265_2026-03-02.jsonl,1,256265,2026-03-02,23300,25250,10.9,-0.4,49,,0.46,25300,1697.17,0.2,0.99,0,34.2,-0.010000000000000009,-1.89,0.33,14018562,2127.3,0,0,390,0,true,,0,1715.4,2051.15,0,1925.57,1878.65,201.73,0.19,25427.3,0.99,14018818,1.25,-0.14,-0.19999999999999996,661895,0.211,true,,6207305,1.2,1.25,115310,0,0,1.25,0,23298.75,-7.47
256265_2026-03-02.jsonl,1,256265,2026-03-02,23350,25250,10.9,-0.4,49,,0.46,25300,818.25,0.4,0.99,0,33.900000000000006,-0.010000000000000009,-2.13,0.38,14019074,2206.55,0,0,260,0,true,,0,1663.3,2001.2,0,1875.57,1828.65,330.98,0.1,25556.55,1.5,14019330,1.45,-0.06,-0.10000000000000009,212745,-0.208,true,,4460365,1.35,1.45,-55900,0,0,1.45,0,23348.55,-7.27
256265_2026-03-02.jsonl,1,256265,2026-03-02,23400,25250,10.9,-0.4,49,,0.46,25300,535.18,-0.1,0.99,0,32.7,-0.010000000000000009,-1.93,0.35,14019586,2100,0,0,715,0,true,,0,1633.7,1961.65,0,1825.57,1778.65,274.43,0.13,25500,1.28,14019842,1.3,-0.16,-0.25,382655,0.019,true,,5592925,1.3,1.4,7150,0,0,1.3,0,23398.7,-7.07
256265_2026-03-02.jsonl,1,256265,2026-03-02,23450,25250,10.9,-0.4,49,,0.46,25300,1389.33,0.1,0.99,0,32.1,-0.010000000000000009,-2.05,0.38,14020098,2022.05,0,0,195,0,true,,0,1599.35,1999.9,0,1775.57,1728.65,246.48,0.15,25472.05,1.17,14020354,1.4,-0.1,-0.15000000000000013,270920,-0.099,true,,4918810,1.35,1.4,-29835,0,0,1.4,0,23448.6,-6.87
256265_2026-03-02.jsonl,1,256265,2026-03-02,23500,25250,10.9,-0.4,49,,0.46,25300,355.93,-0.1,0.99,0,31.3,-0.010000000000000009,-2.04,0.39,14020610,1700,-0.15,-305.25,8385,0.449,true,,4940,1528.05,1734.75,2600,1725.57,1678.65,-25.57,0.55,25200,0.08,14020866,1.4,-0.13,-0.20000000000000018,2984475,-0.106,true,,17920565,1.3,1.4,-352040,0,0,1.4,0,23498.6,-6.67
256265_2026-03-02.jsonl,1,256265,2026-03-02,23550,25250,10.9,-0.4,49,,0.46,25300,1703,0.1,0.99,0,30.9,-0.010000000000000009,-2.26,0.44,14021122,1897.25,0,-4.4500000000000455,130,0,true,,0,1498.35,1853.85,0,1675.57,1628.65,221.68,0.17,25447.25,1.07,14021378,1.6,-0.03,-0.04999999999999982,221390,-0.308,true,,4650425,1.45,1.6,-98670,0,0,1.6,0,23548.4,-6.47
256265_2026-03-02.jsonl,1,256265,2026-03-02,23600,25250,10.9,-0.4,49,,0.46,25300,1014.91,-0.1,0.99,0,30,-0.010000000000000009,-2.19,0.44,14021634,1611.3,-0.13,-244.6500000000001,715,-0.154,true,,650,1419.1,1821.05,-130,1625.57,1578.65,-14.27,0.53,25211.3,0.13,14021890,1.55,-0.06,-0.09999999999999987,725660,-0.146,true,,6914570,1.45,1.55,-123890,0,0,1.55,0,23598.45,-6.28
256265_2026-03-02.jsonl,1,256265,2026-03-02,23650,25250,10.9,-0.4,49,,0.46,25300,1415.33,-0.4,0.99,0,29.299999999999997,-0.010000000000000009,-2.24,0.46,14022146,1796.75,0,-6.0499999999999545,195,0,true,,0,1412.25,1755.5,0,1575.57,1528.65,221.18,0.17,25446.75,1.06,14022402,1.6,-0.11,-0.19999999999999996,275990,0.024,true,,4774640,1.6,1.65,6370,0,0,1.6,0,23648.4,-6.08
256265_2026-03-02.jsonl,1,256265,2026-03-02,23700,25250,10.9,-0.4,49,,0.46,25300,2418,-0.6,0.99,0,28.299999999999997,-0.010000000000000009,-2.17,0.46,14022658,1625,-0.07,-123.34999999999991,455,-0.125,true,,130,1457.85,1550.75,-65,1525.57,1478.65,99.43,0.33,25325,0.58,14022914,1.55,-0.14,-0.25,1100190,0.314,true,,11373765,1.55,1.65,262730,0,0,1.55,0,23698.45,-5.88
256265_2026-03-02.jsonl,1,256265,2026-03-02,23750,25250,10.9,-0.4,49,,0.46,25300,1744,-0.5,0.99,0,27.900000000000002,-0.010000000000000009,-2.38,0.51,14023170,1681.2,0,0,130,0,true,,0,1421.05,1513.35,0,1475.57,1428.65,205.63,0.19,25431.2,1,14023426,1.75,-0.08,-0.1499999999999999,226720,-0.227,true,,4970290,1.7,1.85,-66495,0,0,1.75,0,23748.25,-5.68
256265_2026-03-02.jsonl,1,256265,2026-03-02,23800,25250,10.9,-0.4,49,,0.46,25300,2290.71,-0.8999999999999999,0.99,0,26.8,-0.010000000000000009,-2.26,0.5,14025474,1545,-0.16,-295,910,-0.067,true,,260,1290.9,1464.55,-65,1425.57,1378.65,119.43,0.3,25345,0.66,14025730,1.65,-0.15,-0.30000000000000004,2084550,0.312,true,,14694550,1.6,1.65,495885,0,0,1.65,0,23798.35,-5.48
256265_2026-03-02.jsonl,1,256265,2026-03-02,23850,25250,10.9,-0.4,49,,0.46,25300,2458.5,-0.7000000000000001,0.99,0,26.5,-0.010000000000000009,-2.57,0.58,14025986,1582.9,0,0,130,0,true,,0,1226.6,1430.55,0,1375.57,1328.65,207.33,0.19,25432.9,1.01,14026242,1.95,-0.07,-0.15000000000000013,319605,0.257,true,,6461715,1.75,1.9,65325,0,0,1.95,0,23848.05,-5.28
256265_2026-03-02.jsonl,1,256265,2026-03-02,23900,25250,10.9,-0.4,49,,0.46,25300,2726.7,-1,0.99,0,25.5,-0.010000000000000009,-2.44,0.58,14026498,1415,-0.15,-253,650,0,true,,65,1172.9,1354.85,0,1325.57,1278.65,89.43,0.34,25315,0.54,14026754,1.85,-0.12,-0.25,1772355,0.162,true,,15835820,1.8,1.85,246610,0,0,1.85,0,23898.15,-5.09
256265_2026-03-02.jsonl,1,256265,2026-03-02,23950,25250,10.9,-0.4,49,,0.46,25300,2794.67,-1.0999999999999999,0.99,0,24.9,-0.010000000000000009,-2.64,0.64,14027010,1179.9,-0.2,-303.4499999999998,195,0,true,,65,1136.3,1437,0,1275.57,1228.65,-95.67,0.66,25129.9,-0.19,14027266,2.05,-0.09,-0.20000000000000018,544960,0.414,true,,8715720,1.8,2,159640,0,0,2.05,0,23947.95,-4.89
256265_2026-03-02.jsonl,1,256265,2026-03-02,24000,25250,10.9,-0.4,49,,0.46,25300,294.85,-1.2,0.99,0.0001,24.3,-0.010000000000000009,-2.77,0.69,14027522,1220.95,-0.19,-292.39999999999986,28795,-0.259,true,,30355,1217.8,1237.35,-10075,1225.57,1178.65,-4.62,0.51,25220.95,0.17,14027778,2.2,-0.1,-0.25,8490105,0.071,true,,57989945,2.1,2.2,565565,0,0,2.2,0,23997.8,-4.69
256265_2026-03-02.jsonl,1,256265,2026-03-02,24050,25250,10.9,-0.4,49,,0.46,25300,1188.75,-1.5,0.99,0.0001,23.400000000000002,-0.010000000000000009,-2.8,0.72,14028034,1415.8,0,0,260,0,true,,0,1022.4,1315.35,0,1175.57,1128.65,240.23,0.16,25465.8,1.14,14028290,2.25,-0.13,-0.3500000000000001,309075,0.311,true,,7801560,2.2,2.25,73385,0,0,2.25,0.01,24047.75,-4.49
256265_2026-03-02.jsonl,1,256265,2026-03-02,24100,25250,10.9,-0.4,49,,0.46,25300,905.6,-1.7999999999999998,0.99,0.0001,22.6,-0.010000000000000009,-2.83,0.75,14028546,1117.35,-0.3,-469.45000000000005,1625,-0.167,true,,12350,1119.75,1136.1,-325,1125.57,1078.65,-8.22,0.52,25217.35,0.15,14028802,2.3,-0.16,-0.4500000000000002,1471600,0.605,true,,18031325,2.2,2.3,554905,0,0,2.3,0.01,24097.7,-4.29
256265_2026-03-02.jsonl,1,256265,2026-03-02,24150,25250,10.9,-0.4,49,,0.46,25300,1815.67,-1.9,0.99,0.0001,22,-0.010000000000000009,-3,0.82,14029058,1293.45,0,0,195,0,true,,0,931.8,1226.65,0,1075.57,1028.65,217.88,0.18,25443.45,1.05,14029314,2.5,-0.17,-0.5,354055,0.328,true,,9293245,2.4,2.55,87490,0,0,2.5,0.01,24147.5,-4.1
256265_2026-03-02.jsonl,1,256265,2026-03-02,24200,25250,10.9,-0.4,49,,0.46,25300,2287.13,-1.7000000000000002,0.98,0.0001,21.4,-0.020000000000000018,-3.21,0.9,14029570,1023.65,-0.19,-236.10000000000002,1560,-0.143,true,,1105,948.55,1033,-260,1025.57,978.65,-1.92,0.51,25223.65,0.18,14029826,2.75,-0.1,-0.2999999999999998,3567915,0.928,true,,28026050,2.75,2.8,1716910,0,0,2.75,0.01,24197.25,-3.9
256265_2026-03-02.jsonl,1,256265,2026-03-02,24250,25250,10.9,-0.4,49,,0.46,25300,1669.8,-2.1,0.98,0.0001,20.7,-0.020000000000000018,-3.36,0.97,14030082,1042,-0.18,-233.4000000000001,325,0.667,true,,260,823.4,1009.15,130,975.57,928.65,66.43,0.38,25292,0.45,14030338,2.95,-0.14,-0.5,542685,-0.108,true,,14943045,2.95,3.1,-65650,0,0,2.95,0.01,24247.05,-3.7
256265_2026-03-02.jsonl,1,256265,2026-03-02,24300,25250,10.9,-0.4,49,,0.46,25300,718.92,-2.1,0.98,0.0001,20,-0.020000000000000018,-3.54,1.06,14030594,918,-0.26,-325.70000000000005,3835,-0.145,true,,5330,920.55,934.05,-650,925.57,878.65,-7.57,0.52,25218,0.16,14030850,3.2,-0.11,-0.3999999999999999,2757040,0.217,true,,48250150,3.05,3.25,491855,0,0,3.2,0.01,24296.8,-3.5
256265_2026-03-02.jsonl,1,256265,2026-03-02,24350,25250,10.9,-0.4,49,,0.46,25300,2106.6,-2.1,0.98,0.0001,19.5,-0.020000000000000018,-3.97,1.22,14031106,863,-0.22,-240,325,0.25,true,,1560,825.4,944.85,65,875.57,828.65,-12.57,0.52,25213,0.14,14031362,3.75,-0.04,-0.1499999999999999,684645,0.04,true,,29420430,3.6,3.75,26130,0,0,3.75,0.01,24346.25,-3.31
256265_2026-03-02.jsonl,1,256265,2026-03-02,24400,25250,10.9,-0.4,49,,0.46,25300,1253.21,-2.1,0.97,0.0001,19,-0.030000000000000027,-4.36,1.38,14031618,826,-0.26,-292.54999999999995,2210,0.063,true,,8125,822.6,833.5,130,825.57,778.65,0.43,0.5,25226,0.19,14031874,4.3,-0.02,-0.10000000000000053,2769585,0.326,true,,50780340,4.15,4.2,681005,0,0,4.3,0.01,24395.7,-3.11
256265_2026-03-02.jsonl,1,256265,2026-03-02,24450,25250,10.9,-0.4,49,,0.46,25300,826.62,-2.1999999999999997,0.97,0.0002,18.4,-0.030000000000000027,-4.8,1.56,14032642,772.05,-0.28,-297.95000000000005,845,0.083,true,,1690,727.3,833.5,65,775.57,728.65,-3.52,0.51,25222.05,0.17,14032898,4.95,0.04,0.20000000000000018,698490,0.383,true,,25829115,4.9,5.05,193310,0,0,4.95,0.02,24445.05,-2.91
256265_2026-03-02.jsonl,1,256265,2026-03-02,24500,25250,10.9,-0.4,49,,0.46,25300,98.29,-2.1999999999999997,0.96,0.0002,17.9,-0.040000000000000036,-5.34,1.79,14033154,731.45,-0.28,-284.4,68315,0.181,true,,183885,728.05,731,10465,725.57,678.65,5.88,0.49,25231.45,0.21,14033410,5.8,0.09,0.5,6715020,0.357,true,,72596745,5.8,5.9,1767675,0,0,5.8,0.02,24494.2,-2.72
256265_2026-03-02.jsonl,1,256265,2026-03-02,24550,25250,10.9,-0.4,49,,0.46,25300,1023.05,-2,0.96,0.0002,17.5,-0.040000000000000036,-6.02,2.07,14033922,658.75,-0.32,-311.15,1235,-0.05,true,,4940,676.25,707.85,-65,675.57,628.65,-16.82,0.53,25208.75,0.12,14034178,6.95,0.21,1.2000000000000002,1263470,1.231,true,,24298625,6.75,6.9,697190,0,0,6.95,0.02,24543.05,-2.52
256265_2026-03-02.jsonl,1,256265,2026-03-02,24600,25250,10.9,-0.4,49,,0.46,25300,181.76,-2.1999999999999997,0.95,0.0003,16.8,-0.050000000000000044,-6.42,2.3,14036994,627.55,-0.32,-291.1500000000001,13065,1.01,true,,32890,627.75,637.3,6565,625.57,578.65,1.98,0.5,25227.55,0.19,14037250,7.75,0.21,1.3499999999999996,2374645,0.044,true,,46296575,7.7,7.85,100360,0,0,7.75,0.03,24592.25,-2.33
256265_2026-03-02.jsonl,1,256265,2026-03-02,24650,25250,10.9,-0.4,49,,0.46,25300,97.75,-2.3,0.94,0.0003,16.2,-0.06000000000000005,-7.14,2.64,14037506,575.2,-0.34,-297.29999999999995,12350,0.005,true,,22555,576.7,588.55,65,575.57,528.65,-0.37,0.5,25225.2,0.18,14037762,9.2,0.3,2.0999999999999996,1207180,0.176,true,,25226435,8.95,9.2,180830,0,0,9.2,0.04,24640.8,-2.14
256265_2026-03-02.jsonl,1,256265,2026-03-02,24700,25250,10.9,-0.4,49,,0.46,25300,197.06,-2.4,0.93,0.0004,15.5,-0.06999999999999995,-7.63,2.95,14047490,534.6,-0.35,-286.9,19565,-0.142,true,,121030,531.6,540.35,-3250,525.57,478.65,9.03,0.49,25234.6,0.22,14048002,10.4,0.33,2.6000000000000005,3855475,0.481,true,,53787305,10.45,10.7,1252420,0,0,10.4,0.04,24689.6,-1.94
256265_2026-03-02.jsonl,1,256265,2026-03-02,24750,25250,10.9,-0.4,49,,0.46,25300,104.56,-2.3,0.92,0.0004,15,-0.07999999999999996,-8.55,3.41,14048258,487.75,-0.37,-286.20000000000005,14950,0.018,true,,43485,482.4,490.2,260,475.57,428.65,12.18,0.48,25237.75,0.23,14048514,12.6,0.45,3.9000000000000004,1563120,0.493,true,,40029925,12.6,12.75,516295,0,0,12.6,0.05,24737.4,-1.75
256265_2026-03-02.jsonl,1,256265,2026-03-02,24800,25250,10.9,-0.4,49,,0.46,25300,58.6,-2.1999999999999997,0.9,0.0005,14.499999999999998,-0.09999999999999998,-9.5,3.93,14048770,440.65,-0.39,-282.9,69550,0.181,true,,702130,436.65,441,10660,425.57,378.65,15.08,0.47,25240.65,0.25,14049026,15.25,0.59,5.65,4075760,-0.072,true,,89873615,15,15.25,-316485,0,0,15.25,0.07,24784.75,-1.56
256265_2026-03-02.jsonl,1,256265,2026-03-02,24850,25250,10.9,-0.4,49,,0.46,25300,53.29,-2.3,0.88,0.0006,13.900000000000002,-0.12,-10.41,4.48,14049282,391.45,-0.42,-286.09999999999997,26715,0.478,true,,233155,392.75,395,8645,375.57,328.65,15.88,0.47,25241.45,0.25,14049538,18.25,0.67,7.300000000000001,1423565,0.849,true,,49420475,18,18.2,653835,0,0,18.25,0.08,24831.75,-1.38
256265_2026-03-02.jsonl,1,256265,2026-03-02,24900,25250,10.9,-0.4,49,,0.46,25300,40.41,-2.4,0.86,0.0007,13.3,-0.14,-11.29,5.08,14049794,344.35,-0.45,-281.9,82420,0.276,true,,1083225,346.4,348.85,17810,325.57,278.65,18.78,0.47,25244.35,0.26,14050050,21.8,0.75,9.350000000000001,3330275,0.378,true,,101158915,21.85,22,913250,0,0,21.8,0.1,24878.2,-1.19
256265_2026-03-02.jsonl,1,256265,2026-03-02,24950,25250,10.9,-0.4,49,,0.46,25300,34.97,-2.4,0.83,0.0009,12.8,-0.17000000000000004,-12.45,5.82,14050306,297.1,-0.49,-280.29999999999995,41210,1.092,true,,615485,301.2,304,21515,275.57,228.65,21.53,0.46,25247.1,0.27,14050562,27.1,0.9,12.850000000000001,1441050,0.545,true,,83217225,27,27.1,508300,0,0,27.1,0.12,24922.9,-1.02
256265_2026-03-02.jsonl,1,256265,2026-03-02,25000,25250,10.9,-0.4,49,,0.46,25300,9.55,-2.4,0.79,0.001,12.3,-0.20999999999999996,-13.53,6.58,14050818,257.3,-0.51,-272.7,902980,0.73,true,,15175095,258.4,259.7,381160,225.57,178.65,31.73,0.44,25257.3,0.31,14051074,33.6,1.03,17.05,8624980,0.183,true,,279450795,33.6,33.85,1335945,0,0,33.6,0.15,24966.4,-0.84
256265_2026-03-02.jsonl,1,256265,2026-03-02,25050,25250,10.9,-0.4,49,,0.46,25300,14.83,-2.3,0.74,0.0012,11.899999999999999,-0.26,-14.58,7.37,14051330,217.9,-0.55,-266.9,133900,3.204,true,,3769285,217.95,218.7,102050,175.57,128.65,42.33,0.43,25267.9,0.35,14051842,42.15,1.21,23.049999999999997,1985945,0.675,true,,127120305,42.35,42.75,800475,0,0,42.15,0.19,25007.85,-0.68
256265_2026-03-02.jsonl,1,256265,2026-03-02,25100,25250,10.9,-0.4,49,,0.46,25300,5.01,-2.1,0.68,0.0013,11.600000000000001,-0.31999999999999995,-15.72,8.13,14052098,179.75,-0.59,-256.2,931580,6.697,true,,24709490,179.55,180.3,810550,125.57,78.65,54.18,0.4,25279.75,0.4,14052354,54.45,1.44,32.150000000000006,4664790,0.701,true,,256033310,54.3,54.65,1922050,0,0,54.45,0.22,25045.55,-0.53
256265_2026-03-02.jsonl,1,256265,2026-03-02,25150,25250,10.9,-0.4,49,,0.46,25300,2.03,-2,0.62,0.0015,11.200000000000001,-0.38,-16.35,8.72,14052610,144.6,-0.63,-242.9,1632540,28.307,true,,30636125,144.6,145,1576835,75.57,28.65,69.03,0.38,25294.6,0.46,14054914,69.05,1.59,42.4,3312725,1.624,true,,222537965,69,69.35,2050360,0,0,69.05,0.27,25080.95,-0.39
256265_2026-03-02.jsonl,1,256265,2026-03-02,25200,25250,10.9,-0.4,49,,0.46,25300,1.25,-1.7000000000000002,0.54,0.0016,11.1,-0.45999999999999996,-16.73,9.07,14055170,114,-0.67,-231.64999999999998,4706910,15.895,true,,124257315,113.65,114,4428320,25.57,0,88.43,0.35,25314,0.54,14055426,88.65,1.76,56.550000000000004,5892575,0.256,true,,426279165,88.05,88.55,1201200,0,21.35,88.65,0.31,25111.35,-0.27
256265_2026-03-02.jsonl,1,256265,2026-03-02,25250,25250,10.9,-0.4,49,,0.46,25300,0.7,-1.5,0.46,0.0016,10.9,-0.54,-16.47,9.08,14055682,87.55,-0.71,-215.2,3701750,34.705,true,,128151660,87.6,87.85,3598075,0,0,87.55,0.31,25337.55,0.63,14055938,113.65,1.91,74.65,2588820,0.38,true,,381233580,111.8,112.4,712270,24.43,71.35,89.22,0.35,25136.35,-0.17
256265_2026-03-02.jsonl,1,256265,2026-03-02,25300,25250,10.9,-0.4,49,,0.46,25300,0.3,-1.2,0.38,0.0015,10.9,-0.62,-15.84,8.74,14056194,66.55,-0.75,-194.84999999999997,11533405,14.82,true,,437977150,66.3,66.55,10804365,0,0,66.55,0.27,25366.55,0.75,14056450,140.25,1.92,92.15,3440515,-0.241,true,,693858555,140.15,140.85,-1089725,74.43,121.35,65.82,0.38,25159.75,-0.08
256265_2026-03-02.jsonl,1,256265,2026-03-02,25350,25250,10.9,-0.4,49,,0.46,25300,0.16,-0.8,0.31,0.0014,11,-0.69,-14.88,8.1,14056706,50.55,-0.77,-172.05,7741045,23.162,true,,349125400,50.5,50.75,7420660,0,0,50.55,0.22,25400.55,0.88,14056962,174.8,1.94,115.35000000000001,1231945,-0.469,true,,391926210,173.6,174.55,-1088880,124.43,171.35,50.37,0.41,25175.2,-0.01
256265_2026-03-02.jsonl,1,256265,2026-03-02,25400,25250,10.9,-0.4,49,,0.46,25300,0.17,-0.4,0.25,0.0012,11.200000000000001,-0.75,-13.63,7.28,14057218,38.3,-0.79,-148.45,13882050,4.309,true,,436916480,38.35,38.55,11267165,0,0,38.3,0.18,25438.3,1.03,14057474,211.75,1.88,138.25,2341300,-0.651,true,,387545925,211.55,212.6,-4361500,174.43,221.35,37.32,0.43,25188.25,0.04
256265_2026-03-02.jsonl,1,256265,2026-03-02,25450,25250,10.9,-0.4,49,,0.46,25300,0.13,0.2,0.2,0.0011,11.600000000000001,-0.8,-12.48,6.44,14057730,29.9,-0.81,-123.85,6978530,1.675,true,,228394400,29.65,29.9,4369950,0,0,29.9,0.15,25479.9,1.2,14070274,254.55,1.81,163.85000000000002,907985,-0.745,true,,127264865,252.5,253.8,-2657980,224.43,271.35,30.12,0.44,25195.45,0.07
256265_2026-03-02.jsonl,1,256265,2026-03-02,25500,25250,10.9,-0.4,49,,0.46,25300,0.18,0.7000000000000001,0.16,0.0009,12,-0.84,-11.25,5.61,14070530,23.4,-0.81,-100.94999999999999,15730780,0.531,true,,303852250,23.25,23.4,5458570,0,0,23.4,0.12,25523.4,1.37,14070786,297.5,1.67,186,2800200,-0.595,true,,146648450,295.85,297.35,-4113980,274.43,321.35,23.07,0.46,25202.5,0.09
256265_2026-03-02.jsonl,1,256265,2026-03-02,25550,25250,10.9,-0.4,49,,0.46,25300,0.1,1.6,0.13,0.0007,12.4,-0.87,-10.02,4.83,14071042,18.4,-0.82,-81.5,6662565,0.46,true,,136908980,18.35,18.4,2098200,0,0,18.4,0.09,25568.4,1.55,14071298,342.3,1.51,205.95000000000002,644800,-0.62,true,,24787035,341.5,343.65,-1052285,324.43,371.35,17.87,0.47,25207.7,0.12
256265_2026-03-02.jsonl,1,256265,2026-03-02,25600,25250,10.9,-0.4,49,,0.46,25300,0.09,2.1,0.11,0.0006,12.9,-0.89,-8.95,4.16,14071554,14.75,-0.81,-64.05,12946700,0.355,true,,186513795,14.6,14.75,3389360,0,0,14.75,0.07,25614.75,1.73,14071810,388.15,1.35,222.84999999999997,1110135,-0.495,true,,37178115,386.7,389.45,-1089270,374.43,421.35,13.72,0.47,25211.85,0.13
256265_2026-03-02.jsonl,1,256265,2026-03-02,25650,25250,10.9,-0.4,49,,0.46,25300,0.06,2.7,0.09,0.0005,13.5,-0.91,-8.14,3.62,14072066,12.3,-0.8,-48.8,6367985,0.245,true,,92164280,12.3,12.4,1251380,0,0,12.3,0.06,25662.3,1.92,14072322,435,1.2,237.45,384540,-0.397,true,,5030870,432.6,438.55,-253500,424.43,471.35,10.57,0.48,25215,0.14
256265_2026-03-02.jsonl,1,256265,2026-03-02,25700,25250,10.9,-0.4,49,,0.46,25300,0.06,3.2,0.07,0.0004,14.099999999999998,-0.9299999999999999,-7.4,3.16,14072578,10.35,-0.78,-36.699999999999996,11219975,0.115,true,,127176270,10.35,10.45,1158430,0,0,10.35,0.05,25710.35,2.11,14072834,483.2,1.07,250.29999999999998,672490,-0.459,true,,9074130,481.65,486.45,-571415,474.43,521.35,8.77,0.48,25216.8,0.15
256265_2026-03-02.jsonl,1,256265,2026-03-02,25750,25250,10.9,-0.4,49,,0.46,25300,0.03,3.8,0.06,0.0004,14.7,-0.94,-6.8,2.78,14073090,8.9,-0.75,-26.800000000000004,6027580,0.452,true,,77339210,8.85,8.95,1876615,0,0,8.9,0.04,25758.9,2.3,14073346,534.9,0.96,262.4,205400,-0.467,true,,1135485,529.25,537.15,-180050,524.43,571.35,10.47,0.48,25215.1,0.14
